Wikipedia data,,,MAG,,,,Status,,Note
pageid,name,born (year),author_id,author_name,pub count,citation count,MAG id,different name,
23758,Pseudo-Dionysius the Areopagite,599,no info,no info,0,0,,,
21018,Marcel Proust,1871,1995058148,Marcel Proust,250,1894,,,
40949287,Pierre-Joseph Proudhon,1808,2596316014,Pierre-Joseph Proudhon,94,515,,,
24086,Protagoras,-491,2800687341,Protagoras N. Cutchis,19,433,,,
24797,Proclus Lycaeus,411,2428252010,ca. Proclus,37,400,,,
308764,Arthur Norman Prior,1914,2128139130,Arthur N. Prior,86,2430,,diff,https://academic.microsoft.com/author/2128139130/publication/search?q=Arthur%20N.%20Prior&qe=Composite(AA.AuId%253D2128139130)&f=&orderBy=0
40176,Joseph Priestley,1732,2013897426,Joseph Priestley,91,756,,,
2158190,H. A. Prichard,1871,2108716671,H. A. Prichard,17,341,,,
205480,Richard Price,1722,2098497142,Richard W. Price,295,21651,,,
2853336,Henry Habberley Price,1899,no info,no info,0,0,no,diff,
5441231,Costanzo Preve,1943,2508680579,Costanzo Preve,0,0,,,https://academic.microsoft.com/author/2508680579/publication/search?q=Costanzo%20Preve&qe=Composite(AA.AuId%253D2508680579)&f=&orderBy=0
